name,price,og-price,rating,rating-num,free-shipping
,NoneNone,None,None,None,None
"Skytech Archangel 3.0 Gaming PC Desktop  INTEL Core i7 12700F 2.1 GHz, RTX 3070, 1TB NVME SSD, 16G DDR4 3200, 650W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,649.99","1,779.99",4.5/5,29,Yes
"HUANUO Dual Monitor Mount Stand Each Arm Hold up to 26.4 lbs - Long Double Arm Gas Spring Monitor Desk Mount for 2 Screens 22 to 35 Inch Height Adjustable VESA Bracket with Clamp, Grommet Base",85.99,None,4.6/5,12,Yes
"Z-EDGE UG30 30"" Ultrawide 21:9 WFHD 2560x1080 200Hz 1ms Curved Gaming Monitor, FreeSync, HDR10, 2 x HDMI + DisplayPort + USB, with RGB Light, VESA Mountable, Built-in Speakers",269.99,289.99,None,28,Yes
"Z-EDGE UG27P 27"" 1080P Curved Gaming Monitor, 240Hz, 1ms, 350cd/m², HDR10, FreeSync, 2 x HDMI 2.0, 2 x DisplayPort 1.2, Built-in Speakers, with RGB Breathing Light",249.99,259.99,None,27,Yes
"ASUS VP249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 Up to 75Hz HDMI VGA Asus Eye Care with Ultra Low Blue-Light Filter & Flicker-Free Frameless LED Backlit IPS Monitor",169.99,None,4.7/5,126,Yes
"Z-EDGE UG32P 32"" 1080P Curved Gaming Monitor, 240Hz, 1ms, HDR10, FreeSync, HDMI x2, DisplayPort x1, USB x1, Built-in Speakers, VESA Mountable, with RGB Breathing Light",279.99,309.99,None,27,Yes
"HUANUO Triple Monitor Stand - Full Motion Articulating Aluminum Gas Spring Monitor Mount Fit Three 17 to 32 inch LCD Computer Screens with Clamp, Grommet Kit",89.99,None,None,12,None
"VIOTEK GFV24CB 24 Inch 165Hz Gaming Monitor (Supports 144hz) 1920 x 1080p FHD High Color VA Panel Display Near Bezelless Frame GSYNC, FreeSync, DisplayPort, HDMI, VESA",149.99,None,4.4/5,94,Yes
VA27EHE 27” Eye Care Monitor Full HD (1920 x 1080) IPS 75Hz Adaptive-Sync HDMI D-Sub Frameless,309.99,None,None,None,Yes
ABS Legend Gaming PC - Intel i9 11900KF - EVGA GeForce RTX 3090 FTW3 Ultra Gaming - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 2TB Intel M.2 NVMe SSD,"4,199.99","5,199.99",4.3/5,33,Yes
"Apple MacBook Pro (14-inch, Apple M1 Pro chip with 10-core CPU and 16-core GPU, 16GB RAM, 1TB SSD) - Silver","2,414.95","2,419.95",None,1,None
ABS Master Gaming PC - Intel i7 12700F - GeForce RTX 3060 Ti - 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,799.99","1,899.99",4.6/5,23,Yes
ABS Gladiator Gaming PC - Intel i9 12900KF - GeForce RTX 3080 - Corsair Dominator Platinum 32GB (2x16GB) DDR5 5200MHz - 1TB Gen4 NVMe SSD - Corsair iCue 5000x Gaming Case,"3,149.99","3,799.99",4.6/5,18,None
"MSI GF63 Thin 11UC-270 Gaming Laptop Intel Core i5-11400H 2.70 GHz 15.6"" Windows 11 Home",689.99,749.99,4.5/5,12,Yes
"ASUS ROG Strix 34"" XG349C UWQHD 3440 x 1440 180Hz (OC) 1ms (GTG) Extreme Low Motion Blur Sync, 135% sRGB, G-Sync Compatible, DisplayHDR 400, USB-C, DisplayPort, HDMI Gaming Monitor",805.19,805.22,4.7/5,9,Yes
MSI GE76 Raider Premium Gaming Laptop 17.3” FHD IPS 144Hz 11th Gen Intel 8-Core i7-11800H 32GB DDR4 1TB SSD GeForce RTX 3060 6GB Backlit KB Thunderbolt USB-C MiniDP 2.5Gb Ethernet Win10 Grey,"1,799.99",None,None,1,Yes
"2021 Apple MacBook Pro (16-inch, Apple M1 Pro chip with 10-core CPU and 16-core GPU, 16GB RAM, 512GB SSD) - Silver ?MK1E3LL/A Laptop Notebook","2,484.95",None,None,None,Yes
"Monoprice Zero-G 142890 27"" VA Curved Gaming Monitor - 1500R, 2560x1440 (QHD), 144Hz",189.99,199.99,None,2,Yes
"Lenovo IdeaPad 3 15.6"" Full HD IPS Touchscreen Laptop,11th Gen Intel Core i5-1135G7 Processor,12GB DDR4 RAM,256GB SSD,Intel Iris Xe Graphics,Wifi-AX,Bluetooth,HDMI,USB,Windows 11 Pro",612.99,None,None,None,Yes
Acer AN515-55-53E5 - 15.6 inches - 8 GB RAM - Intel CPU - 256 GB storage - Windows 10 Home Laptop Notebook,769.99,None,None,None,Yes
"ASUS ProArt Display 32"" 4K HDR Mini LED Monitor (PA32UCR-K) - IPS, UHD (3840 x 2160), 1000nits, Delta E < 1, 98% DCI-P3, 99.5% Adobe RGB, Calman Ready, USB-C, DisplayPort, HDMI, X-rite i1 Calibrator","1,599.00",None,None,None,None
"Lenovo ThinkPad X1 Carbon Gen 9 Intel Laptop, 14.0"""" IPS  400 nits, i5-1135G7,   Iris Xe Graphics, 16GB, 512GB, Win 11 Pro, 1 YR On-site Warranty","1,399.00","1,449.00",None,None,Yes
"Dell OptiPlex 5090 Desktop, Intel Core i5-11500 Upto 4.6GHz, 32GB RAM, 1TB NVMe SSD, DVDRW, Displayport, Wi-Fi, Bluetooth, Windows 10 Pro",999.99,None,None,None,Yes
"Lenovo ThinkPad T14s Gen 2 Intel Laptop, 14.0"" FHD IPS  300 nits, i5-1135G7,   Iris Xe Graphics, 16GB, 512GB SSD, Win 10 Pro","1,139.00","1,319.00",None,None,Yes
"Lenovo ThinkPad E14 Gen 2 Intel Laptop, 14"" FHD IPS Touch  300 nits, i7-1165G7,   Iris Xe Graphics, 16GB, 1TB SSD, Win 10 Pro","1,069.92",None,None,None,Yes
"BenQ GL2780 27"" Full HD 1920 x 1080 75Hz 1ms VGA DVI HDMI DisplayPort Built-in Speakers Flicker-Free Technology LED Backlit LCD Monitor",209.99,None,4.5/5,49,None
ABS Gladiator Gaming PC - AMD Ryzen 5 5600G - GeForce RTX 3070 - 16GB (2x8GB) DDR4 3200MHz - 1TB M.2 NVMe SSD,"2,399.99",None,4.4/5,40,None
"2021 Lenovo Thinkpad P1 Gen 3 15.6"" FHD Mobile Workstation Laptop (Intel 8-Core i9-10885H, 64GB RAM, 2TB PCIe SSD, Quadro T2000 Graphics) Backlit , Thunderbolt, Fingerprint, Windows 10 Pro","2,799.99","2,899.99",None,None,Yes
Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Tablet - Gray SM-T500NZAAXAR (2020),NoneNone,229.99,None,1,Yes
"HP 15.6"" HD TouchScreen LED Notebook,10th Gen Intel Core i5-1035G1 Quad Core Processor,16GB DDR4 RAM,256GB SSD,Intel UHD Graphics,Wifi,Bluetooth,USB,HDMI, Windows 10 Pro",695.00,699.99,None,1,Yes
"HP 15.6"" HD TouchScreen LED Notebook,10th Gen Intel Core i5-1035G1 Quad Core Processor,16GB DDR4 RAM,256GB SSD,Intel UHD Graphics,Wifi,Bluetooth,USB,HDMI, Windows 10 Pro",692.78,696.78,None,1,Yes
"Philips 346B1C 34"" 3440x1440 QHD VA LCD Ultra Wide Curved Monitor",549.99,None,None,3,Yes
"Deco Gear 35"" Curved Ultrawide E-LED Gaming Monitor, 21:9 Aspect Ratio, Immersive 3440x1440 Resolution, 100Hz Refresh Rate, 3000:1 Contrast Ratio (DGVIEW201) (Single Monitor)",399.99,None,None,7,None
"HP V24i 23.8"" FHD 1920 x 1080 IPS 3-Sided Micro Edge Design Low Blue Light with HDMI and VGA Ports LED Monitor",119.99,169.99,None,2,Yes
,NoneNone,None,None,None,None
,NoneNone,None,None,None,None
